year,price,mileage,make,model
2015,29.288,23.617,BMW,361
2014,16.498,37.118,Chevrolet ,Equinox
1999,4.357,177.205,Honda,Accord
2011,15.99,45.337,Mercedes,Cclass
2015,31.995,32.551,Mercedes,Eclass
2014,0,37.859,Toyota,Rav14
2013,9.991,44.91,Kia,Soul
2013,15.997,77.585,BMW,328
2014,22.984,21.919,BMW,359
2014,23.856,40.782,BMW,330
2004,6.45,177,BMW,X13
2005,6.995,121.273,Jeep,Cherokee
2014,28.9,48.179,BMW,328
2004,6.995,109.305,BMW,X28
2011,16.997,38.354,BMW,338
2013,13.995,97.854,Subaru,Outback
2016,21.65,48.045,Nissan,Altima
2006,9.995,76.158,Toyota,Rav26
2015,22.995,16.482,Nissan,Rogue
2017,27.476,6.795,Subaru,Outback
2014,30.9,31.912,BMW,328
2012,19.988,45.94,BMW,328
2015,12.79,12.524,Kia,Soul
2014,15.599,28.08,Chevrolet ,Equinox
2014,25.988,28.155,BMW,328
2014,17.995,32.512,Chevrolet ,Equinox
2013,23.99,41.344,BMW,350
2014,20.843,43.901,NIssan,Frontier
2015,21.9,32.886,Subaru,Outback
2013,15.995,70.921,Ford,Escape
2015,21.499,50.312,Subaru,Outback
2011,15.388,112.43,Nissan,Altima
2014,22.495,20.734,BMW,373
2011,14.99,87.942,Subaru,Outback
2017,32.883,6.406,Mercedes,Cclass
2015,29.982,37.987,Mercedes,Cclass
2014,23.99,31.053,BMW,328
2015,18.5,27.254,Chevrolet ,Equinox
2011,13.998,85,Mercedes,Cclass
2011,9.39,94.973,Nissan,Rogue
2013,9.5,73.739,VW,Jetta
2017,59.207,4.046,BMW,X49
2010,15.888,108.161,Chevrolet ,Silverado
2016,27,13.545,Subaru,Outback
2012,26.925,56.785,Chevrolet ,Silverado
