Active,Rest,Smoke,Gender,Exercise,Hgt,Wgt
126,73,0,1,1,62,135
64,58,0,1,3,68,178
89,77,1,1,2,67,140
66,59,0,1,3,64,150
104,82,0,1,1,61,120
77,60,1,1,2,67,147
78,66,0,1,2,66,160
94,73,0,0,2,70,162
130,78,0,1,2,63,135
64,58,0,0,3,70,150
95,70,0,0,1,70,183
74,58,1,1,2,63,125
82,68,0,0,2,74,250
73,62,0,1,1,68,135
50,41,0,0,3,75,200
69,59,1,1,2,60,150
72,57,0,0,2,69,190
84,62,0,1,1,68,200
109,75,1,0,2,71,180
90,87,0,1,1,63,110
98,82,0,1,1,65,119
54,52,0,0,3,72,143
83,57,0,1,2,65,133
54,48,0,0,2,68,135
93,63,0,0,3,70,180
70,60,0,0,3,74,190
83,71,1,1,1,70,130
82,70,0,1,2,69,140
66,60,0,0,3,74,187
75,60,0,0,3,73,210
84,62,0,0,3,78,275
70,65,0,0,3,76,205
84,72,0,1,1,70,200
115,92,0,0,2,77,197
112,56,0,1,2,67,145
110,66,0,1,2,64,155
90,74,0,1,2,68,135
104,71,0,0,2,74,190
85,69,1,0,2,73,185
86,64,0,1,2,65,120
55,42,0,0,3,71,175
88,72,0,1,1,65,112
74,59,0,0,3,76,215
75,61,0,0,3,69,190
58,55,1,0,2,72,167
75,60,0,1,3,66,138
82,67,0,1,3,68,150
87,76,1,0,2,68,154
84,63,0,1,3,71,155
73,68,0,0,2,70,140
95,68,0,1,2,64,135
89,69,0,1,2,61,110
71,64,0,1,3,65,150
64,62,0,0,3,72,183
65,43,0,1,3,70,145
63,43,0,1,3,63,120
90,75,0,1,2,63,101
101,83,0,1,1,67,160
71,68,0,1,3,68,135
66,64,0,0,3,75,178
79,63,0,0,3,76,210
71,60,0,1,3,64,120
76,77,0,1,3,67,140
75,70,0,1,1,63,105
72,69,0,0,1,74,170
67,64,1,0,2,70,215
59,50,0,0,1,71,176
75,61,0,1,3,66,125
53,49,0,0,3,72,176
65,65,0,1,3,65,150
95,77,0,0,2,74,160
56,54,1,0,2,74,170
74,64,0,1,2,72,155
73,52,0,1,3,69,126
67,62,0,1,3,64,124
62,54,0,0,2,69,155
99,78,0,1,1,60,115
90,73,0,1,2,66,140
65,60,0,1,2,65,120
77,75,0,0,2,73,200
65,62,0,1,3,64,130
85,70,0,1,1,65,110
98,56,0,0,3,76,225
106,74,0,0,3,73,193
103,65,1,0,3,72,190
88,57,1,0,3,69,175
122,75,0,1,2,68,145
92,76,0,1,2,68,173
73,60,0,1,2,68,140
102,71,1,0,1,76,200
82,68,0,1,2,70,168
90,63,1,0,2,70,165
75,49,0,0,3,75,200
63,50,0,0,3,69,155
98,69,0,1,2,65,160
90,70,0,0,3,65,168
99,69,0,1,2,69,190
65,55,0,1,1,60,132
99,50,0,1,2,61,108
90,70,1,0,2,71,165
70,70,0,1,2,64,135
114,70,0,1,2,66,114
73,63,0,1,3,64,130
68,64,0,1,2,67,140
76,70,0,1,2,64,115
96,71,0,1,1,64,155
85,75,0,0,1,70,152
